Lang,Key,Value,Reference,Page
Angkamuthi,12du_a,alibba,"Crowley, Terry. 1983. Uradhi. In R.M.W. Dixon and Barry Blake (eds.), Handbook of Australian Languages, 307-430. Amsterdam: John Benjamins.",p354
Angkamuthi,12du_o,aliinha,,
Angkamuthi,12du_p,aliimu,,
Angkamuthi,12du_s,alibba,,
Angkamuthi,12pl_a,anabba,,
Angkamuthi,12pl_o,anaanha,,
Angkamuthi,12pl_p,anaamu,,
Angkamuthi,12pl_s,anabba,,
Angkamuthi,1du_a,ampula,,
Angkamuthi,1du_o,ampaanha,,
Angkamuthi,1du_p,ampaamu,,
Angkamuthi,1du_s,ampula,,
Angkamuthi,1pl_a,ampula,,
Angkamuthi,1pl_o,ampaanha,,
Angkamuthi,1pl_p,ampaamu,,
Angkamuthi,1pl_s,ampula,,
Angkamuthi,1sg_a,ayubba,,
Angkamuthi,1sg_o,anhibba,,
Angkamuthi,1sg_p,athumu,,
Angkamuthi,1sg_s,ayubba,,
Angkamuthi,2du_a,ipula,,
Angkamuthi,2du_o,ipaanha,,
Angkamuthi,2du_p,ipaamu,,
Angkamuthi,2du_s,ipula,,
Angkamuthi,2pl_a,ipula,,
Angkamuthi,2pl_o,ipaanha,,
Angkamuthi,2pl_p,ipaamu,,
Angkamuthi,2pl_s,ipula,,
Angkamuthi,2sg_a,antubba,,
Angkamuthi,2sg_o,inhabba,,
Angkamuthi,2sg_p,angkumu,,
Angkamuthi,2sg_s,antubba,,
Angkamuthi,3d_a,ulabba,,
Angkamuthi,3d_o,ulaanha,,
Angkamuthi,3d_p,ulaamu,,
Angkamuthi,3d_s,ulabba,,
Angkamuthi,3p_a,ulabba,,
Angkamuthi,3p_o,ulaanha,,
Angkamuthi,3p_p,ulaamu,,
Angkamuthi,3p_s,ulabba,,
Angkamuthi,3sg_m_a,ulubba,,
Angkamuthi,3sg_m_o,unhubba,,
Angkamuthi,3sg_m_p,ungumu,,
Angkamuthi,3sg_m_s,ulubba,,
Angkamuthi,3sg_n_a,ulubba,,
Angkamuthi,3sg_n_o,unhubba,,
Angkamuthi,3sg_n_p,ungumu,,
Angkamuthi,3sg_n_s,ulubba,,
Anindilyakwa,12du_a,yakwi,"van Egmond, Marie-Elaine. 2012. Enindhilyakwa phonology, morphosyntax and genetic position. PhD Dissertation. University of Sydney: Sydney.",
Anindilyakwa,12du_o,yakwi,,
Anindilyakwa,12du_p,yakwilhangwi,,
Anindilyakwa,12du_s,yakwi,,
Anindilyakwa,12pl_a,ngakwirra,,
Anindilyakwa,12pl_o,ngakwirra,,
Anindilyakwa,12pl_p,ngakwirralhangwi,,
Anindilyakwa,12pl_s,ngakwirra,,
Anindilyakwa,1du_a,yirrini,,
Anindilyakwa,1du_o,yirrini,,
Anindilyakwa,1du_p,yirrinilhangwi,,
Anindilyakwa,1du_s,yirrini,,
Anindilyakwa,1pl_a,yirra,,
Anindilyakwa,1pl_o,yirra,,
Anindilyakwa,1pl_p,yirralhangwi,,
Anindilyakwa,1pl_s,yirra,,
Anindilyakwa,1sg_a,ngaya,,
Anindilyakwa,1sg_o,ngaya,,
Anindilyakwa,1sg_p,ngayalhangwi,,
Anindilyakwa,1sg_s,ngaya,,
Anindilyakwa,2du_a,ningkwirrini,,
Anindilyakwa,2du_o,ningkwirrini,,
Anindilyakwa,2du_p,ningkwirrinilhangwi,,
Anindilyakwa,2du_s,ningkwirrini,,
Anindilyakwa,2pl_a,ningkwirra,,
Anindilyakwa,2pl_o,ningkwirra,,
Anindilyakwa,2pl_p,ningkwirralhangwi,,
Anindilyakwa,2pl_s,ningkwirra,,
Anindilyakwa,2sg_a,ningkwi,,
Anindilyakwa,2sg_o,ninkwi,,
Anindilyakwa,2sg_p,ninkwilhangwi,,
Anindilyakwa,2sg_s,ninkwi,,
Anindilyakwa,3d_a,apwirrini,,
Anindilyakwa,3d_o,apwirrini,,
Anindilyakwa,3d_p,apwirrinilhangwi,,
Anindilyakwa,3d_s,apwirrini,,
Anindilyakwa,3p_a,apwirra,,
Anindilyakwa,3p_o,apwirra,,
Anindilyakwa,3p_p,apwirralhangwi,,
Anindilyakwa,3p_s,apwirra,,
Anindilyakwa,3sg_m_a,ani,,
Anindilyakwa,3sg_m_o,ani,,
Anindilyakwa,3sg_m_p,anilhangwi,,
Anindilyakwa,3sg_m_s,ani,,
Anindilyakwa,3sg_n_a,nga,,
Anindilyakwa,3sg_n_o,nga,,
Anindilyakwa,3sg_n_p,ngalhangwi,,
Anindilyakwa,3sg_n_s,nga,,
Antakarinya,12du_a,nuura,"Berndt, R. M. & C. H. Berndt. 1944. A Preliminary Report of Field Work in the Ooldea Region, Western South Australia: Women's Life. Oceania 14. 220-249.",p59
Antakarinya,12du_o,ngaali,,
Antakarinya,12du_p,ngaligu,,
Antakarinya,12du_s,nuura,,
Antakarinya,12pl_a,ngaali,,
Antakarinya,12pl_o,ngaali,,
Antakarinya,12pl_p,ngaligu,,
Antakarinya,12pl_s,ngaali,,
Antakarinya,1du_a,nuura,,
Antakarinya,1du_o,ngaali,,
Antakarinya,1du_p,ngaligu,,
Antakarinya,1du_s,nuura,,
Antakarinya,1pl_a,ngaali,,
Antakarinya,1pl_o,ngaali,,
Antakarinya,1pl_p,ngaligu,,
Antakarinya,1pl_s,ngaali,,
Antakarinya,1sg_a,ngaiulu,,
Antakarinya,1sg_o,ngaina,,
Antakarinya,1sg_p,ngaiugu,,
Antakarinya,1sg_s,ngaiulu,,
Antakarinya,2du_a,nuubali,,
Antakarinya,2du_o,njurada,,
Antakarinya,2du_p,nuuramba,,
Antakarinya,2du_s,nubali,,
Antakarinya,2pl_a,njundurdu,,
Antakarinya,2pl_o,nuurandi,,
Antakarinya,2pl_p,nuuramba,,
Antakarinya,2pl_s,njundurdu,,
Antakarinya,2sg_a,njuura,,
Antakarinya,2sg_o,nuura,,
Antakarinya,2sg_p,nuuramba,,
Antakarinya,2sg_s,njuura,,
Antakarinya,3d_a,dana,,
Antakarinya,3d_o,dana,,
Antakarinya,3d_p,dananba,,
Antakarinya,3d_s,dana,,
Antakarinya,3p_a,dana,,
Antakarinya,3p_o,dana,,
Antakarinya,3p_p,dananba,,
Antakarinya,3p_s,dana,,
Antakarinya,3sg_m_a,balaru,,
Antakarinya,3sg_m_o,balaru,,
Antakarinya,3sg_m_p,balumba,,
Antakarinya,3sg_m_s,balaru,,
Antakarinya,3sg_n_a,balaru,,
Antakarinya,3sg_n_o,balaru,,
Antakarinya,3sg_n_p,balumba,,
Antakarinya,3sg_n_s,balaru,,
